City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qaanaaq,GL,77.484,-69.3632,5.4,71,100,8.28,overcast clouds
80,Hobart,AU,-42.8794,147.3294,55.4,58,40,13.8,scattered clouds
81,Kavaratti,IN,10.5669,72.642,84.72,68,59,7.05,broken clouds
82,Bredasdorp,ZA,-34.5322,20.0403,77.0,20,9,5.75,clear sky
83,Khatanga,RU,71.9667,102.5,-0.94,95,100,7.94,overcast clouds
84,Luau,AO,-10.7073,22.2247,68.04,82,61,2.66,broken clouds
85,Bethel,US,41.3712,-73.414,60.01,41,1,8.05,clear sky
86,Mahajanga,MG,-15.7167,46.3167,84.2,61,40,3.44,scattered clouds
87,Porbandar,IN,21.6422,69.6093,82.35,68,2,14.29,clear sky
88,Cherskiy,RU,68.75,161.3,24.1,88,100,9.08,overcast clouds
89,Port Macquarie,AU,-31.4333,152.9167,54.0,98,33,1.99,scattered clouds
90,Hermanus,ZA,-34.4187,19.2345,69.01,59,14,1.01,few clouds
91,Okahandja,NA,-21.9833,16.9167,69.8,46,98,9.22,overcast clouds
92,Ranong,TH,9.9658,98.6348,79.7,84,97,5.75,overcast clouds
93,Lebu,CL,-37.6167,-73.65,62.73,66,81,11.99,broken clouds
94,Evensk,RU,61.95,159.2333,28.6,97,100,1.99,light snow
95,Puerto Ayora,EC,-0.7393,-90.3518,79.0,89,75,9.22,light rain
96,Veraval,IN,20.9,70.3667,81.48,74,1,12.97,clear sky
97,Wote,KE,-1.7808,37.6288,67.08,89,94,4.16,light rain
98,Bengkulu,ID,-3.8004,102.2655,75.0,90,80,4.56,broken clouds
99,Soavinandriana,MG,-19.1667,46.7333,55.81,91,52,6.06,broken clouds
100,Kerema,PG,-7.9631,145.7785,74.44,92,100,2.89,moderate rain
101,North Platte,US,41.1239,-100.7654,55.0,57,1,8.05,clear sky
102,Ponta Do Sol,PT,32.6667,-17.1,64.99,64,33,5.01,scattered clouds
103,Mayo,US,38.8876,-76.5119,63.0,58,1,6.91,clear sky
104,Pinczow,PL,50.5205,20.5265,51.01,64,100,3.0,overcast clouds
105,Livingstone,ZM,-17.8419,25.8543,66.22,57,24,5.46,few clouds
106,Perigueux,FR,45.1833,0.7167,61.0,42,92,6.91,overcast clouds
107,Ancud,CL,-41.8697,-73.8203,55.4,94,90,6.91,moderate rain
108,Flinders,AU,-34.5833,150.8552,54.0,84,8,1.01,clear sky
109,Kahului,US,20.8947,-156.47,69.8,100,75,4.61,broken clouds
110,Hirara,JP,24.8,125.2833,67.26,64,12,21.0,few clouds
111,Oytal,KZ,42.9057,73.2697,54.63,66,100,8.55,light rain
112,Katsuura,JP,35.1333,140.3,54.0,40,16,6.91,few clouds
113,Srednekolymsk,RU,67.45,153.6833,16.21,83,91,15.17,overcast clouds
114,Mimongo,GA,-1.6195,11.6068,73.92,94,99,3.62,light rain
115,Dores Do Indaia,BR,-19.4633,-45.6017,83.23,38,40,3.13,scattered clouds
116,Syracuse,IT,37.0881,15.2792,60.8,77,40,11.5,scattered clouds
117,Coracora,PE,-15.0333,-73.7833,63.21,38,4,8.97,clear sky
118,Butaritari,KI,3.0707,172.7902,82.51,77,81,12.48,broken clouds
119,Canon City,US,38.441,-105.2424,48.0,49,1,11.5,clear sky
120,Esperance,AU,-33.8667,121.9,55.4,88,0,6.91,clear sky
121,Hithadhoo,MV,-0.6,73.0833,83.55,61,8,7.25,clear sky
122,Soweto,ZA,-26.2678,27.8585,63.0,58,1,6.04,clear sky
123,Lavrentiya,RU,65.5833,-171.0,18.34,97,96,2.82,overcast clouds
124,Sambava,MG,-14.2667,50.1667,77.11,86,100,14.07,light rain
125,Seoul,KR,37.5683,126.9778,44.6,75,0,2.3,clear sky
126,Castro,BR,-24.7911,-50.0119,68.94,64,96,4.05,overcast clouds
127,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,0,8.05,clear sky
128,Fare,PF,-16.7,-151.0167,81.75,70,3,11.72,clear sky
129,Tuatapere,NZ,-46.1333,167.6833,55.0,83,93,10.0,overcast clouds
130,Kulachi,PK,31.9286,70.4592,81.46,38,3,6.93,clear sky
131,Praia Da Vitoria,PT,38.7333,-27.0667,68.0,68,40,10.8,scattered clouds
132,Linda,US,39.1277,-121.5508,72.0,34,1,8.05,clear sky
133,Marawi,PH,7.9986,124.2928,73.99,87,99,5.99,light rain
134,Yichang,CN,30.7144,111.2847,55.47,90,71,1.61,broken clouds
135,Goksun,TR,38.021,36.4973,78.8,38,40,3.44,scattered clouds
136,Athabasca,CA,54.7169,-113.2854,37.4,64,93,9.22,overcast clouds
137,Meulaboh,ID,4.1363,96.1285,78.37,82,93,1.7,overcast clouds
138,Busselton,AU,-33.65,115.3333,53.01,84,28,8.1,scattered clouds
139,Eyl,SO,7.9803,49.8164,82.26,77,9,13.15,clear sky
140,Price,US,39.5994,-110.8107,48.2,25,1,4.61,clear sky
141,Zhigansk,RU,66.7697,123.3711,1.13,99,99,2.64,overcast clouds
142,Sergeyevka,KZ,53.88,67.4158,29.86,58,22,16.06,few clouds
143,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.58,77,97,7.27,overcast clouds
144,Karlshamn,SE,56.1706,14.8619,59.0,41,0,13.8,clear sky
145,Cayenne,GF,4.9333,-52.3333,82.4,78,75,12.66,broken clouds
146,Chandbali,IN,20.7833,86.7667,80.08,80,7,12.21,heavy intensity rain
147,Mersing,MY,2.4312,103.8405,77.0,94,75,5.75,broken clouds
148,Shulan,CN,44.4167,126.95,45.07,43,0,7.0,clear sky
149,Staines,GB,51.4309,-0.5061,59.0,28,100,3.44,overcast clouds
150,Wajir,KE,1.7471,40.0573,86.0,66,75,3.44,broken clouds
151,Morant Bay,JM,17.8815,-76.4093,91.99,70,20,24.16,few clouds
152,General Roca,AR,-39.0333,-67.5833,73.4,64,20,3.44,few clouds
153,Dzerzhinskoye,RU,56.8344,95.2283,29.46,87,94,7.65,overcast clouds
154,Severo-Kurilsk,RU,50.6789,156.125,34.2,87,100,24.07,overcast clouds
155,Stolin,BY,51.8912,26.846,49.91,79,88,9.1,overcast clouds
