City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Boende,CD,81.36,overcast clouds,-0.2167,20.8667,
243,Merauke,ID,76.5,moderate rain,-8.4667,140.3333,
246,The Valley,AI,86.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
257,Sabang,ID,84.09,scattered clouds,5.8933,95.3214,Hotel Citra
258,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Puerto Princesa,PH,78.64,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
267,Stabat,ID,78.8,haze,3.761,98.4513,Link VII damai
268,Sattur,IN,82.4,scattered clouds,9.3667,77.9333,Jaypriya Residency
270,Nagaur,IN,88.39,broken clouds,27.2,73.7333,Ranvas Nagaur
271,San Pedro,PH,84.2,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
272,Carnarvon,AU,76.01,clear sky,-24.8667,113.6333,Hospitality Carnarvon
274,Dingle,PH,77.41,light rain,10.9995,122.6711,SEGAYA PROPERTY
278,Todos Santos,MX,82.0,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
281,Jutai,BR,79.18,overcast clouds,-5.1833,-68.9,
284,Caibarien,CU,89.6,scattered clouds,22.5206,-79.4669,La Nena
288,Indapur,IN,83.66,clear sky,18.3,73.25,Hotel Open Umbrella
289,Kanth,IN,81.45,few clouds,29.0667,78.6333,Sagar Hotel
292,Sao Jose Do Belmonte,BR,85.68,broken clouds,-7.8614,-38.7597,Pousada Pedra do Reino
293,Amahai,ID,81.0,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
294,Alyangula,AU,75.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
295,San Policarpo,PH,76.69,heavy intensity rain,12.1791,125.5072,JM Lodge
298,Borba,BR,84.02,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
301,Ternate,ID,81.41,heavy intensity rain,0.8,127.4,Grand Dafam Bela Ternate
302,Majene,ID,77.04,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
304,Caravelas,BR,83.48,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
306,Polewali,ID,76.17,overcast clouds,-3.4324,119.3435,Lilianto Hotel
307,George,ZA,82.4,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
308,Turayf,SA,87.8,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
310,Olinda,BR,75.2,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
313,Gat,IL,84.0,clear sky,31.61,34.7642,OlusHome
314,Tiarei,PF,75.2,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
315,Jibuti,DJ,84.2,clear sky,11.5,42.5,Orchid Main Camp Goubet
319,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
323,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
335,Marataizes,BR,81.68,few clouds,-21.0433,-40.8244,Ed. Barra Shopping
341,Muli,MV,84.11,broken clouds,2.9167,73.5667,Medhufushi Island Resort
343,Sinnamary,GF,82.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
344,Gizo,SB,82.9,light rain,-8.103,156.8419,Imagination Island
345,Inirida,CO,83.16,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
